"@sourceA","fname_c1@sourceA","fname_c2@sourceA","lname_c1@sourceA","lname_c2@sourceA","by@sourceA","bm@sourceA","bd@sourceA","@sourceB","fname_c1@sourceB","fname_c2@sourceB","lname_c1@sourceB","lname_c2@sourceB","by@sourceB","bm@sourceB","bd@sourceB","Confidence"
"4713","WOLFGANG","NA","ZIMMERMANN","NA","1954","11","16","4713","WOLFGANG","NA","ZIMMERMANN","NA","1954","11","16","100"
"4714","FRANK","CHRISTIAN","MUELLER","NA","1951","11","23","4714","FRANK","CHRISTIAN","MUELLER","NA","1951","11","23","100"
"4715","UWE","NA","LUDWIG","NA","1981","9","16","4715","UWE","NA","LUDWIG","NA","1981","9","16","100"
"4716","STEFAN","NA","FRANKE","NA","1952","5","7","4716","STEFAN","NA","FRANKE","NA","1952","5","7","100"
"4717","GUENTHER","NA","BAUER","NA","1961","9","15","4717","GUENTHER","NA","BAUER","NA","1961","9","15","100"
"4718","HERBERT","NA","MUELLER","NA","1950","10","10","4718","HERBERT","NA","MUELLER","NA","1950","10","10","100"
"4719","THORSTEN","NA","KRAUS","NA","1946","10","8","4719","THORSTEN","NA","KRAUS","NA","1946","10","8","100"
"4720","UWE","NA","POHL","NA","1985","2","6","4720","UWE","NA","POHL","NA","1985","2","6","100"
"4721","JOERG","NA","SCHULZ","NA","1976","2","4","4721","JOERG","NA","SCHULZ","NA","1976","2","4","100"
"4722","HORST","NA","MUELLER","NA","2004","11","13","4722","HORST","NA","MUELLER","NA","2004","11","13","100"
"4723","THOMAS","NA","FISCHER","NA","1987","12","18","4723","THOMAS","NA","FISCHER","NA","1987","12","18","100"
"4724","UWE","NA","SCHUSTER","NA","1972","8","11","4724","UWE","NA","SCHUSTER","NA","1972","8","11","100"
"4725","ALEXANDER","NA","SCHMID","NA","1937","2","23","4725","ALEXANDER","NA","SCHMID","NA","1937","2","23","100"
"4726","KARL","NA","SCHOLZ","NA","1970","1","18","4726","KARL","NA","SCHOLZ","NA","1970","1","18","100"
"4727","DIETER","NA","BAUER","SCHULZ","1964","8","21","4727","DIETER","NA","BAUER","SCHULZ","1964","8","21","100"
"4728","ANDRE","NA","SCHREIBER","NA","2008","9","23","4728","ANDRE","NA","SCHREIBER","NA","2008","9","23","100"
"4729","THOMAS","NA","BERGER","NA","1977","7","6","4729","THOMAS","NA","BERGER","NA","1977","7","6","100"
"4730","JUERGEN","NA","SCHULZ","NA","1947","7","24","4730","JUERGEN","NA","SCHULZ","NA","1947","7","24","100"
"4731","NORBERT","NA","ZIEGLER","NA","1943","8","26","4731","NORBERT","NA","ZIEGLER","NA","1943","8","26","100"
"4732","JENS","NA","WAGNER","NA","2004","1","10","4732","JENS","NA","WAGNER","NA","2004","1","10","100"
"4733","JOHANNES","NA","BOEHM","NA","1929","7","3","4733","JOHANNES","NA","BOEHM","NA","1929","7","3","100"
"4734","SIEGFRIED","NA","BRAUVN","NA","1991","6","10","4734","SIEGFRIED","NA","BRAUVN","NA","1991","6","10","100"
"4735","FLORIAN","NA","RICHTER","NA","1966","1","15","4735","FLORIAN","NA","RICHTER","NA","1966","1","15","100"
"4736","VOLKER","NA","LUDWIG","NA","1946","12","10","4736","VOLKER","NA","LUDWIG","NA","1946","12","10","100"
"4737","HEINZ","NA","SAUER","NA","1975","11","7","4737","HEINZ","NA","SAUER","NA","1975","11","7","100"
"4738","THOMAS","HORST","MUELLER","NA","1952","6","6","4738","THOMAS","HORST","MUELLER","NA","1952","6","6","100"
"4739","STEFAN","NA","DIETRICH","NA","1949","6","10","4739","STEFAN","NA","DIETRICH","NA","1949","6","10","100"
"4740","STEFAN","NA","BERGMANN","NA","1977","7","31","4740","STEFAN","NA","BERGMANN","NA","1977","7","31","100"
"4741","CARSTEN","NA","FISCHER","NA","1969","5","18","4741","CARSTEN","NA","FISCHER","NA","1969","5","18","100"
"4742","STEFAN","NA","WOLF","NA","1936","9","12","4742","STEFAN","NA","WOLF","NA","1936","9","12","100"
"4743","MAIK","NA","BERGER","NA","1978","6","13","4743","MAIK","NA","BERGER","NA","1978","6","13","100"
"4744","DANIEL","NA","LEHMANN","NA","1999","4","17","4744","DANIEL","NA","LEHMANN","NA","1999","4","17","100"
"4745","JOERG","NA","LANG","NA","1954","4","6","4745","JOERG","NA","LANG","NA","1954","4","6","100"
"4746","KLAUS","NA","HOFMANN","NA","1965","8","11","4746","KLAUS","NA","HOFMANN","NA","1965","8","11","100"
"4747","CHRISTIAN","NA","BERGER","NA","2005","5","4","4747","CHRISTIAN","NA","BERGER","NA","2005","5","4","100"
"4748","CHRISTIAN","NA","NEUMANN","NA","1935","5","19","4748","CHRISTIAN","NA","NEUMANN","NA","1935","5","19","100"
"4749","KLAUS","NA","MUELLER","NA","2008","11","19","4749","KLAUS","NA","MUELLER","NA","2008","11","19","100"
"4750","RALF","NA","LUDWIG","NA","1989","11","19","4750","RALF","NA","LUDWIG","NA","1989","11","19","100"
"4751","ANDREAS","NA","LORENZ","NA","1978","8","14","4751","ANDREAS","NA","LORENZ","NA","1978","8","14","100"
"4752","HORST","NA","MOELLER","NA","1945","9","19","4752","HORST","NA","MOELLER","NA","1945","9","19","100"
"4753","HERMANN","NA","ALBRECHT","NA","1943","11","12","4753","HERMANN","NA","ALBRECHT","NA","1943","11","12","100"
"4754","WALTER","NA","RICHTER","NA","1965","2","7","4754","WALTER","NA","RICHTER","NA","1965","2","7","100"
"4755","MICHAEL","NA","MUELLER","NA","1929","4","21","4755","MICHAEL","NA","MUELLER","NA","1929","4","21","100"
"4756","ANDREAS","NA","SOMMER","NA","1957","4","7","4756","ANDREAS","NA","SOMMER","NA","1957","4","7","100"
"4757","KAI","NA","KLEIN","NA","1940","10","10","4757","KAI","NA","KLEIN","NA","1940","10","10","100"
"4758","JOACHIM","NA","MEIER","NA","1986","2","5","4758","JOACHIM","NA","MEIER","NA","1986","2","5","100"
"4759","HORST","NA","KAISER","NA","1967","8","17","4759","HORST","NA","KAISER","NA","1967","8","17","100"
"4760","UWBE","NA","MUELLER","NA","1937","11","28","4760","UWBE","NA","MUELLER","NA","1937","11","28","100"
"4761","ALEXANDER","NA","SCHULZE","NA","2001","3","19","4761","ALEXANDER","NA","SCHULZE","NA","2001","3","19","100"
"4762","ANDREAS","NA","HUBER","NA","1953","7","31","4762","ANDREAS","NA","HUBER","NA","1953","7","31","100"
"4763","HELMUT","HELMUT","BAUER","NA","1997","12","15","4763","HELMUT","HELMUT","BAUER","NA","1997","12","15","100"
"4764","DIRK","NA","HOFFMANN","NA","1930","12","17","4764","DIRK","NA","HOFFMANN","NA","1930","12","17","100"
"4765","ROLF","NA","KRUEGER","NA","1967","4","29","4765","ROLF","NA","KRUEGER","NA","1967","4","29","100"
"4766","BERND","NA","WEISS","NA","1962","11","2","4766","BERND","NA","WEISS","NA","1962","11","2","100"
"4767","WALTER","NA","SCHREIBER","NA","1998","2","22","4767","WALTER","NA","SCHREIBER","NA","1998","2","22","100"
"4768","STEFAN","NA","HORN","NA","1940","6","5","4768","STEFAN","NA","HORN","NA","1940","6","5","100"
"4769","WOLFGANG","NA","LUDWIG","NA","1927","12","29","4769","WOLFGANG","NA","LUDWIG","NA","1927","12","29","100"
"4770","HORST","NA","SCHULZ","NA","1928","7","4","4770","HORST","NA","SCHULZ","NA","1928","7","4","100"
"4771","WERNER","NA","SCHAEFER","NA","1946","5","13","4771","WERNER","NA","SCHAEFER","NA","1946","5","13","100"
"4772","GERHARD","NA","BOEHM","NA","1991","4","17","4772","GERHARD","NA","BOEHM","NA","1991","4","17","100"
"4773","ANDREAS","NA","HAHN","NA","1971","10","12","4773","ANDREAS","NA","HAHN","NA","1971","10","12","100"
"4774","RAINER","NA","WOLFF","NA","1966","2","16","4774","RAINER","NA","WOLFF","NA","1966","2","16","100"
"4775","ANDRE","NA","WAGNER","NA","1948","12","13","4775","ANDRE","NA","WAGNER","NA","1948","12","13","100"
"4776","DIETER","NA","SOMMER","NA","1987","6","4","4776","DIETER","NA","SOMMER","NA","1987","6","4","100"
"4777","MICHAEL","NA","HARTMANN","NA","1985","11","12","4777","MICHAEL","NA","HARTMANN","NA","1985","11","12","100"
"4778","JENS","MARTIN","MUELLER","NA","1942","8","31","4778","JENS","MARTIN","MUELLER","NA","1942","8","31","100"
"4779","ANDREAS","GERD","SCHOLZ","NA","1964","6","21","4779","ANDREAS","GERD","SCHOLZ","NA","1964","6","21","100"
"4780","MICHAEL","MAIK","MUELLER","NA","1988","6","18","4780","MICHAEL","MAIK","MUELLER","NA","1988","6","18","100"
"4781","WOLFGANG","NA","BOEHM","NA","1989","7","27","4781","WOLFGANG","NA","BOEHM","NA","1989","7","27","100"
"4782","FRANK","NA","SCHULZ","NA","1952","9","12","4782","FRANK","NA","SCHULZ","NA","1952","9","12","100"
"4783","THOMAS","NA","MUELLER","NA","1984","9","13","4783","THOMAS","NA","MUELLER","NA","1984","9","13","100"
"4784","JOACHIM","NA","SCHUBERT","NA","1970","10","5","4784","JOACHIM","NA","SCHUBERT","NA","1970","10","5","100"
"4785","HANS","GUENTHER","KAISER","NA","1980","11","11","4785","HANS","GUENTHER","KAISER","NA","1980","11","11","100"
"4786","ROLF","NA","WAGENR","NA","1924","9","28","4786","ROLF","NA","WAGENR","NA","1924","9","28","100"
"4787","JENS","NA","VOGEL","NA","1989","3","2","4787","JENS","NA","VOGEL","NA","1989","3","2","100"
"4788","DANIEL","NA","PFEIFFER","NA","1981","7","15","4788","DANIEL","NA","PFEIFFER","NA","1981","7","15","100"
"4789","WERNER","MICHAEL","PFEIFFER","NA","1970","7","17","4789","WERNER","MICHAEL","PFEIFFER","NA","1970","7","17","100"
"4790","THOMAS","NA","SCHULZ","NA","1998","9","21","4790","THOMAS","NA","SCHULZ","NA","1998","9","21","100"
"4791","JUERTGEN","NA","KRAUSE","NA","1962","7","1","4791","JUERTGEN","NA","KRAUSE","NA","1962","7","1","100"
"4792","WOLFGANG","MARKUS","BERGMANN","NA","2006","1","7","4792","WOLFGANG","MARKUS","BERGMANN","NA","2006","1","7","100"
"4793","KURT","NA","HARTMANN","NA","1947","1","17","4793","KURT","NA","HARTMANN","NA","1947","1","17","100"
"4794","HEINZ","NA","KLEIN","NA","1984","7","9","4794","HEINZ","NA","KLEIN","NA","1984","7","9","100"
"4795","DIETER","NA","SOMMER","NA","2005","2","7","4795","DIETER","NA","SOMMER","NA","2005","2","7","100"
"4796","MARIO","NA","SCHOLZ","NA","1955","8","3","4796","MARIO","NA","SCHOLZ","NA","1955","8","3","100"
"4797","JUERGEN","NA","LORENZ","NA","1950","3","18","4797","JUERGEN","NA","LORENZ","NA","1950","3","18","100"
"4798","MICHAEL","NA","SCHWARZ","NA","1928","2","18","4798","MICHAEL","NA","SCHWARZ","NA","1928","2","18","100"
"4799","MARKUS","NA","VOGEL","NA","1962","3","9","4799","MARKUS","NA","VOGEL","NA","1962","3","9","100"
"4800","CHRISTIAN","NA","SCHMIDT","NA","1946","2","9","4800","CHRISTIAN","NA","SCHMIDT","NA","1946","2","9","100"
"4801","UWE","NA","WERNER","NA","1950","6","27","4801","UWE","NA","WERNER","NA","1950","6","27","100"
"4802","WALTER","NA","KRUEGER","NA","1952","7","29","4802","WALTER","NA","KRUEGER","NA","1952","7","29","100"
"4803","HEINZ","NA","SCHMID","NA","1958","9","30","4803","HEINZ","NA","SCHMID","NA","1958","9","30","100"
"4804","KLAUS","NA","FISCHER","NA","1964","12","6","4804","KLAUS","NA","FISCHER","NA","1964","12","6","100"
"4805","KLAUS","NA","MUELLER","NA","1974","10","29","4805","KLAUS","NA","MUELLER","NA","1974","10","29","100"
"4806","HEINZ","NA","SCHOLZ","NA","1941","4","30","4806","HEINZ","NA","SCHOLZ","NA","1941","4","30","100"
"4807","HOLGER","NA","HAHN","OTTO","1965","7","20","4807","HOLGER","NA","HAHN","OTTO","1965","7","20","100"
"4808","RUDOLF","NA","MUELLER","NA","1932","3","22","4808","RUDOLF","NA","MUELLER","NA","1932","3","22","100"
"4809","HORST","HEINZ","LANG","NA","1995","6","24","4809","HORST","HEINZ","LANG","NA","1995","6","24","100"
"4810","ANDREAS","PETER","LEHMANN","NA","1970","4","2","4810","ANDREAS","PETER","LEHMANN","NA","1970","4","2","100"
"4811","WILLIA","NA","FUCHS","NA","1947","10","21","4811","WILLIA","NA","FUCHS","NA","1947","10","21","100"
"4812","PETER","NA","LANG","NA","1969","2","23","4812","PETER","NA","LANG","NA","1969","2","23","100"
"4813","MATTHIAS","NA","MUELLER","NA","1960","5","3","4813","MATTHIAS","NA","MUELLER","NA","1960","5","3","100"
"4814","KLAUS","NA","SCHULZ","NA","1986","9","15","4814","KLAUS","NA","SCHULZ","NA","1986","9","15","100"
"4815","THORSTEN","NA","BAUER","NA","1954","5","30","4815","THORSTEN","NA","BAUER","NA","1954","5","30","100"
"4816","WERNER","NA","VOGEL","NA","1956","8","14","4816","WERNER","NA","VOGEL","NA","1956","8","14","100"
"4817","THORSTEN","NA","JAEGER","NA","1944","4","5","4817","THORSTEN","NA","JAEGER","NA","1944","4","5","100"
"4818","DIETER","NA","SCHREIBER","NA","2001","10","9","4818","DIETER","NA","SCHREIBER","NA","2001","10","9","100"
"4819","HANS","NA","RICHTER","NA","1951","11","3","4819","HANS","NA","RICHTER","NA","1951","11","3","100"
"4820","OTTO","NA","KRAUSE","NA","1958","9","8","4820","OTTO","NA","KRAUSE","NA","1958","9","8","100"
"4821","FRITZ","NA","SCHUBERT","NA","1970","3","17","4821","FRITZ","NA","SCHUBERT","NA","1970","3","17","100"
"4822","MICHAEL","NA","MUELLER","NA","2006","9","10","4822","MICHAEL","NA","MUELLER","NA","2006","9","10","100"
"4823","KLAUS","NA","SCHUBERT","NA","1945","11","4","4823","KLAUS","NA","SCHUBERT","NA","1945","11","4","100"
"4824","WERNER","NA","JAEGER","NA","1987","4","16","4824","WERNER","NA","JAEGER","NA","1987","4","16","100"
"4825","MATTHIAS","NA","BECKER","NA","1956","7","9","4825","MATTHIAS","NA","BECKER","NA","1956","7","9","100"
"4826","FRANK","NA","KRUEGER","NA","1952","9","5","4826","FRANK","NA","KRUEGER","NA","1952","9","5","100"
"4827","WOLFGANG","GERD","SCHNEIDER","NA","1973","10","4","4827","WOLFGANG","GERD","SCHNEIDER","NA","1973","10","4","100"
"4828","JENS","NA","SCHMIDT","NA","1928","9","3","4828","JENS","NA","SCHMIDT","NA","1928","9","3","100"
"4829","ALEXANDER","NA","RICHTER","NA","1969","7","26","4829","ALEXANDER","NA","RICHTER","NA","1969","7","26","100"
"4830","MANFRED","NA","STEIN","NA","1944","9","6","4830","MANFRED","NA","STEIN","NA","1944","9","6","100"
"4831","ANDREAS","NA","MEYER","NA","2008","9","18","4831","ANDREAS","NA","MEYER","NA","2008","9","18","100"
"4832","DENNIS","NA","RICHTER","NA","1943","5","17","4832","DENNIS","NA","RICHTER","NA","1943","5","17","100"
"4833","PAUL","NA","KOCH","NA","1967","2","19","4833","PAUL","NA","KOCH","NA","1967","2","19","100"
"4834","MICHAEL","NA","ERNST","NA","1942","6","5","4834","MICHAEL","NA","ERNST","NA","1942","6","5","100"
"4835","INGO","NA","GUENTHER","NA","1966","1","26","4835","INGO","NA","GUENTHER","NA","1966","1","26","100"
"4836","KLAUS","JENS","SCHMIDT","NA","1968","7","15","4836","KLAUS","JENS","SCHMIDT","NA","1968","7","15","100"
"4837","HELMUT","NA","NEUMANN","NA","1961","8","18","4837","HELMUT","NA","NEUMANN","NA","1961","8","18","100"
"4838","JAN","NA","FRIEDRICH","NA","1949","10","9","4838","JAN","NA","FRIEDRICH","NA","1949","10","9","100"
"4839","JUERGEN","NA","MUELLER","NA","1978","9","10","4839","JUERGEN","NA","MUELLER","NA","1978","9","10","100"
"4840","JENS","NA","WEBER","NA","2001","5","26","4840","JENS","NA","WEBER","NA","2001","5","26","100"
"4841","FRANK","FRIEDRICH","MAIER","NA","1967","9","26","4841","FRANK","FRIEDRICH","MAIER","NA","1967","9","26","100"
"4842","AXEL","NA","FISCHER","NA","1968","2","5","4842","AXEL","NA","FISCHER","NA","1968","2","5","100"
"4843","RALF","NA","SCHULZE","NA","1950","9","6","4843","RALF","NA","SCHULZE","NA","1950","9","6","100"
"4844","KLAUS","NA","KOEHLER","NA","1964","10","25","4844","KLAUS","NA","KOEHLER","NA","1964","10","25","100"
"4845","HORST","NA","MAYER","NA","1952","1","17","4845","HORST","NA","MAYER","NA","1952","1","17","100"
"4846","MICHAEL","NA","HEINRICH","NA","1934","2","16","4846","MICHAEL","NA","HEINRICH","NA","1934","2","16","100"
"4847","KARL","NA","RICTER","NA","1965","9","29","4847","KARL","NA","RICTER","NA","1965","9","29","100"
"4848","MANFRED","NA","MARTIN","NA","1957","12","10","4848","MANFRED","NA","MARTIN","NA","1957","12","10","100"
"4849","MARKUS","NA","FRIEDRICH","NA","1982","11","1","4849","MARKUS","NA","FRIEDRICH","NA","1982","11","1","100"
"4850","JOERG","NA","POHL","NA","1948","9","30","4850","JOERG","NA","POHL","NA","1948","9","30","100"
"4851","SIEGFRIED","NA","HOFFMANN","NA","2001","11","5","4851","SIEGFRIED","NA","HOFFMANN","NA","2001","11","5","100"
"4852","WILHELM","NA","GRAF","NA","1995","2","21","4852","WILHELM","NA","GRAF","NA","1995","2","21","100"
"4853","NORBERT","NA","MAIER","NA","1930","8","4","4853","NORBERT","NA","MAIER","NA","1930","8","4","100"
"4854","MARTIN","NA","WOLF","NA","1937","1","20","4854","MARTIN","NA","WOLF","NA","1937","1","20","100"
"4855","MICHAEL","NA","LUDWIG","NA","1981","9","12","4855","MICHAEL","NA","LUDWIG","NA","1981","9","12","100"
"4856","HELMUT","NA","MUELLER","NA","1949","3","27","4856","HELMUT","NA","MUELLER","NA","1949","3","27","100"
"4857","WALTER","NA","MUELLER","NA","1955","6","24","4857","WALTER","NA","MUELLER","NA","1955","6","24","100"
"4858","HELMUT","NA","KRAUSE","NA","1976","2","3","4858","HELMUT","NA","KRAUSE","NA","1976","2","3","100"
"4859","KARL","NA","FISCHER","NA","1975","7","7","4859","KARL","NA","FISCHER","NA","1975","7","7","100"
"4860","CHRISTIAN","NA","KRAUS","NA","1970","7","11","4860","CHRISTIAN","NA","KRAUS","NA","1970","7","11","100"
"4861","KURT","NA","SCHULZE","NA","1990","10","26","4861","KURT","NA","SCHULZE","NA","1990","10","26","100"
"4862","ROLF","NA","VOGEL","NA","2000","2","16","4862","ROLF","NA","VOGEL","NA","2000","2","16","100"
"4863","ROLF","NA","BUSCH","NA","1940","8","12","4863","ROLF","NA","BUSCH","NA","1940","8","12","100"
"4864","PAUL","NA","KRUEGER","NA","1945","9","4","4864","PAUL","NA","KRUEGER","NA","1945","9","4","100"
"4865","WOLFGANG","NA","KOCH","NA","2003","4","14","4865","WOLFGANG","NA","KOCH","NA","2003","4","14","100"
"4866","PETER","NA","FRIEDRICH","NA","1933","10","1","4866","PETER","NA","FRIEDRICH","NA","1933","10","1","100"
"4867","OLIVER","NA","LUDWIG","NA","1991","4","21","4867","OLIVER","NA","LUDWIG","NA","1991","4","21","100"
"4868","WOLFGANG","NA","VOGEL","NA","1930","2","17","4868","WOLFGANG","NA","VOGEL","NA","1930","2","17","100"
"4869","STEFFAN","NA","WOLF","NA","1936","9","12","4869","STEFFAN","NA","WOLF","NA","1936","9","12","100"
"4870","FRIEDRICH","NA","LORENZ","NA","1996","3","11","4870","FRIEDRICH","NA","LORENZ","NA","1996","3","11","100"
"4871","HELMUJT","NA","MUELLER","NA","1961","7","29","4871","HELMUJT","NA","MUELLER","NA","1961","7","29","100"
"4872","HORST","NA","KLEIN","NA","1946","1","13","4872","HORST","NA","KLEIN","NA","1946","1","13","100"
"4873","RAINER","NA","MUELLER","NA","1960","1","14","4873","RAINER","NA","MUELLER","NA","1960","1","14","100"
"4874","RAINER","NA","SCHMIDT","NA","1985","7","24","4874","RAINER","NA","SCHMIDT","NA","1985","7","24","100"
"4875","MARCO","NA","MUELLER","NA","1976","7","7","4875","MARCO","NA","MUELLER","NA","1976","7","7","100"
"4876","MARK","JUERGEN","MAYER","NA","1929","4","22","4876","MARK","JUERGEN","MAYER","NA","1929","4","22","100"
"4877","WERNER","NA","SCHROEDER","NA","1968","6","17","4877","WERNER","NA","SCHROEDER","NA","1968","6","17","100"
"4878","BERND","NA","HARTMANN","NA","1942","9","22","4878","BERND","NA","HARTMANN","NA","1942","9","22","100"
"4879","ALEXANDER","ANDREAS","THOMAS","NA","1924","12","16","4879","ALEXANDER","ANDREAS","THOMAS","NA","1924","12","16","100"
"4880","THOMAS","NA","LANGE","NA","1935","9","7","4880","THOMAS","NA","LANGE","NA","1935","9","7","100"
"4881","GUENTHER","NA","MEYER","NA","1987","9","2","4881","GUENTHER","NA","MEYER","NA","1987","9","2","100"
"4882","ROLF","NA","SCHAEFER","NA","1939","7","22","4882","ROLF","NA","SCHAEFER","NA","1939","7","22","100"
"4883","MICHAEL","NA","JUNG","NA","1982","4","8","4883","MICHAEL","NA","JUNG","NA","1982","4","8","100"
"4884","GERHARD","NA","MEYER","NA","1949","9","23","4884","GERHARD","NA","MEYER","NA","1949","9","23","100"
"4885","JUERGEN","NA","ROTH","NA","1949","8","19","4885","JUERGEN","NA","ROTH","NA","1949","8","19","100"
"4886","MARK","NA","SCHAEFER","NA","1947","1","28","4886","MARK","NA","SCHAEFER","NA","1947","1","28","100"
"4887","WILLI","NA","SCHNEIDER","NA","1935","12","27","4887","WILLI","NA","SCHNEIDER","NA","1935","12","27","100"
"4888","TOBIAS","NA","WERNER","NA","1940","7","11","4888","TOBIAS","NA","WERNER","NA","1940","7","11","100"
"4889","BERND","NA","MUELLER","NA","1973","4","21","4889","BERND","NA","MUELLER","NA","1973","4","21","100"
"4890","DIETER","NA","HERRMANN","NA","1974","6","8","4890","DIETER","NA","HERRMANN","NA","1974","6","8","100"
"4891","WALTER","NA","SCHULZE","NA","2002","4","22","4891","WALTER","NA","SCHULZE","NA","2002","4","22","100"
"4892","WOLFGANG","NA","WOLFF","NA","1987","2","7","4892","WOLFGANG","NA","WOLFF","NA","1987","2","7","100"
"4893","THOMAS","NA","MUELLER","NA","1996","7","12","4893","THOMAS","NA","MUELLER","NA","1996","7","12","100"
"4894","WOLFGANG","NA","HUBER","NA","1959","1","4","4894","WOLFGANG","NA","HUBER","NA","1959","1","4","100"
"4895","CARSTEN","NA","SCHULZE","NA","1928","11","2","4895","CARSTEN","NA","SCHULZE","NA","1928","11","2","100"
"4896","JOACHIM","NA","MUELLER","HUBER","1970","8","24","4896","JOACHIM","NA","MUELLER","HUBER","1970","8","24","100"
"4897","ANDREAS","NA","GROSS","SCHNEIDER","2005","11","30","4897","ANDREAS","NA","GROSS","SCHNEIDER","2005","11","30","100"
"4898","WERNER","NA","BERGMANN","NA","1952","8","30","4898","WERNER","NA","BERGMANN","NA","1952","8","30","100"
"4899","MATTHIAS","NA","MUELLER","NA","1993","7","25","4899","MATTHIAS","NA","MUELLER","NA","1993","7","25","100"
"4900","MICHAEL","NA","KLEIN","NA","1965","6","22","4900","MICHAEL","NA","KLEIN","NA","1965","6","22","100"
"4901","PETER","NA","MAYER","NA","1987","4","18","4901","PETER","NA","MAYER","NA","1987","4","18","100"
"4902","SVEN","NA","HARTMANN","NA","1976","1","27","4902","SVEN","NA","HARTMANN","NA","1976","1","27","100"
"4903","WERNER","NA","KOERTIG","NA","2003","2","18","4903","WERNER","NA","KOERTIG","NA","2003","2","18","100"
"4904","JAN","NA","BERBER","NA","1975","6","26","4904","JAN","NA","BERBER","NA","1975","6","26","100"
"4905","GUENTHER","NA","KRAEMER","NA","1992","12","6","4905","GUENTHER","NA","KRAEMER","NA","1992","12","6","100"
"4906","CHRISTIAN","NA","RICHTER","NA","1964","5","8","4906","CHRISTIAN","NA","RICHTER","NA","1964","5","8","100"
"4907","DIETER","NA","SCHMITT","NA","1965","9","15","4907","DIETER","NA","SCHMITT","NA","1965","9","15","100"
"4908","HELMUT","NA","SCHUSTER","NA","1941","10","25","4908","HELMUT","NA","SCHUSTER","NA","1941","10","25","100"
"4909","JUERGEN","CHRISTIAN","KOCH","NA","1952","1","5","4909","JUERGEN","CHRISTIAN","KOCH","NA","1952","1","5","100"
"4910","MANFRED","NA","BECK","NA","1950","8","18","4910","MANFRED","NA","BECK","NA","1950","8","18","100"
"4911","ALEXANDER","NA","NEUMANN","NA","1974","2","10","4911","ALEXANDER","NA","NEUMANN","NA","1974","2","10","100"
"4912","KURT","NA","ALBRECHT","NA","1971","5","16","4912","KURT","NA","ALBRECHT","NA","1971","5","16","100"
"4913","GUENTHER","NA","OTTO","NA","1956","4","3","4913","GUENTHER","NA","OTTO","NA","1956","4","3","100"
"4914","WILHELM","NA","BAUER","NA","1991","7","25","4914","WILHELM","NA","BAUER","NA","1991","7","25","100"
"4915","GERHARD","NA","WEISS","NA","2008","3","2","4915","GERHARD","NA","WEISS","NA","2008","3","2","100"
"4916","STEFAN","NA","PETERS","NA","1985","4","3","4916","STEFAN","NA","PETERS","NA","1985","4","3","100"
"4917","KAI","FRANK","LEHMANN","NA","1964","11","20","4917","KAI","FRANK","LEHMANN","NA","1964","11","20","100"
"4918","GERHARD","NA","SCHMITZ","NA","1963","1","6","4918","GERHARD","NA","SCHMITZ","NA","1963","1","6","100"
"4919","DIETEER","NA","KUEHN","NA","1977","9","11","4919","DIETEER","NA","KUEHN","NA","1977","9","11","100"
"4920","OTTO","NA","HOFFMANN","NA","1934","8","21","4920","OTTO","NA","HOFFMANN","NA","1934","8","21","100"
"4921","ANDREAS","NA","SCHULZ","NA","1970","4","10","4921","ANDREAS","NA","SCHULZ","NA","1970","4","10","100"
"4922","HOLGER","NA","KELLER","NA","1974","12","29","4922","HOLGER","NA","KELLER","NA","1974","12","29","100"
"4923","GUENTHER","NA","SCHWARZ","NA","1992","4","27","4923","GUENTHER","NA","SCHWARZ","NA","1992","4","27","100"
"4924","NORBERT","NA","MUELLER","NA","2004","6","5","4924","NORBERT","NA","MUELLER","NA","2004","6","5","100"
"4925","PETER","ANDREAS","KOEHLER","NA","1966","5","6","4925","PETER","ANDREAS","KOEHLER","NA","1966","5","6","100"
"4926","KLAUS","NA","HARTMANN","NA","1973","10","7","4926","KLAUS","NA","HARTMANN","NA","1973","10","7","100"
"4927","WOLFGANG","NA","KRAEMER","NA","2000","2","14","4927","WOLFGANG","NA","KRAEMER","NA","2000","2","14","100"
"4928","RALF","NA","HOFFMANN","NA","1983","4","21","4928","RALF","NA","HOFFMANN","NA","1983","4","21","100"
"4929","MATTHIAS","NA","MUELLER","NA","2006","12","26","4929","MATTHIAS","NA","MUELLER","NA","2006","12","26","100"
"4930","THORSWTEN","NA","SCHNEIDER","NA","1942","2","28","4930","THORSWTEN","NA","SCHNEIDER","NA","1942","2","28","100"
"4931","THOMAS","NA","WOLF","NA","2008","7","12","4931","THOMAS","NA","WOLF","NA","2008","7","12","100"
"4932","UWE","NA","KRAUSE","NA","2007","5","10","4932","UWE","NA","KRAUSE","NA","2007","5","10","100"
"4933","HOLGER","NA","KOCN","NA","1930","8","21","4933","HOLGER","NA","KOCN","NA","1930","8","21","100"
"4934","OLIVER","NA","SCHULZE","NA","1953","10","31","4934","OLIVER","NA","SCHULZE","NA","1953","10","31","100"
"4935","HERMANN","NA","ALBRECHT","NA","1997","10","21","4935","HERMANN","NA","ALBRECHT","NA","1997","10","21","100"
"4936","WOLFGIANG","NA","MUELLER","NA","2002","1","16","4936","WOLFGIANG","NA","MUELLER","NA","2002","1","16","100"
"4937","HEINZ","MANFRED","MUELLER","NA","1986","5","18","4937","HEINZ","MANFRED","MUELLER","NA","1986","5","18","100"
"4938","CHRISTIAN","NA","FISCHER","NA","1927","5","26","4938","CHRISTIAN","NA","FISCHER","NA","1927","5","26","100"
